"","Run","LibraryName","BioProject","ScientificName","avgLength","LibraryStrategy","Platform","Sample","LibraryLayout","LibrarySelection"
"140","SRR6122658","PepMov-4h-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559133","PAIRED","size fractionation"
"141","SRR6122659","PepMov-4h-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559132","PAIRED","size fractionation"
"142","SRR6122638","PepMov-Up-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559153","PAIRED","size fractionation"
"143","SRR6122648","TMV-P0-1D-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559143","PAIRED","size fractionation"
"144","SRR6122649","TMV-P0-1D-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559142","PAIRED","size fractionation"
"145","SRR6122646","TMV-P0-1D-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559145","PAIRED","size fractionation"
"146","SRR6122647","TMV-P0-2D-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559144","PAIRED","size fractionation"
"147","SRR6122644","TMV-P0-2D-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559147","PAIRED","size fractionation"
"148","SRR6122645","TMV-P0-2D-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559146","PAIRED","size fractionation"
"149","SRR6122643","TMV-P0-30m-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559148","PAIRED","size fractionation"
"150","SRR6122642","TMV-P0-30m-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559149","PAIRED","size fractionation"
"151","SRR6122652","TMV-P0-30m-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559139","PAIRED","size fractionation"
"152","SRR6122631","TMV-P0-3D-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559160","PAIRED","size fractionation"
"153","SRR6122630","TMV-P0-3D-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559161","PAIRED","size fractionation"
"154","SRR6122633","TMV-P0-3D-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559158","PAIRED","size fractionation"
"155","SRR6122653","TMV-P0-4h-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559138","PAIRED","size fractionation"
"156","SRR6122650","TMV-P0-4h-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559141","PAIRED","size fractionation"
"157","SRR6122651","TMV-P0-4h-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559140","PAIRED","size fractionation"
"158","SRR6122632","TMV-P0-Up-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559159","PAIRED","size fractionation"
"159","SRR6122629","TMV-P0-Up-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559162","PAIRED","size fractionation"
"160","SRR6122628","TMV-P0-Up-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559163","PAIRED","size fractionation"
"161","SRR1119016",NA,"PRJNA235215","Capsicum annuum",291,"RNA-Seq","ILLUMINA","SRS533921","PAIRED","cDNA"
"162","SRR1119017",NA,"PRJNA235215","Capsicum annuum",291,"RNA-Seq","ILLUMINA","SRS533921","PAIRED","cDNA"
"163","SRR1119018",NA,"PRJNA235215","Capsicum annuum",291,"RNA-Seq","ILLUMINA","SRS533921","PAIRED","cDNA"
"164","SRR1119019",NA,"PRJNA235215","Capsicum annuum",289,"RNA-Seq","ILLUMINA","SRS533922","PAIRED","cDNA"
"165","SRR1119020",NA,"PRJNA235215","Capsicum annuum",289,"RNA-Seq","ILLUMINA","SRS533922","PAIRED","cDNA"
"166","SRR1119021",NA,"PRJNA235215","Capsicum annuum",289,"RNA-Seq","ILLUMINA","SRS533922","PAIRED","cDNA"
"167","SRR1119022",NA,"PRJNA235215","Capsicum annuum",290,"RNA-Seq","ILLUMINA","SRS533923","PAIRED","cDNA"
"168","SRR1119023",NA,"PRJNA235215","Capsicum annuum",290,"RNA-Seq","ILLUMINA","SRS533923","PAIRED","cDNA"
"169","SRR1119024",NA,"PRJNA235215","Capsicum annuum",290,"RNA-Seq","ILLUMINA","SRS533923","PAIRED","cDNA"
"170","SRR1119025",NA,"PRJNA235215","Capsicum annuum",290,"RNA-Seq","ILLUMINA","SRS533924","PAIRED","cDNA"
"171","SRR1119026",NA,"PRJNA235215","Capsicum annuum",290,"RNA-Seq","ILLUMINA","SRS533924","PAIRED","cDNA"
"172","SRR1119027",NA,"PRJNA235215","Capsicum annuum",290,"RNA-Seq","ILLUMINA","SRS533924","PAIRED","cDNA"
"173","SRR1119028",NA,"PRJNA235215","Capsicum annuum",284,"RNA-Seq","ILLUMINA","SRS533925","PAIRED","cDNA"
"174","SRR1119029",NA,"PRJNA235215","Capsicum annuum",284,"RNA-Seq","ILLUMINA","SRS533925","PAIRED","cDNA"
"175","SRR1119030",NA,"PRJNA235215","Capsicum annuum",284,"RNA-Seq","ILLUMINA","SRS533925","PAIRED","cDNA"
"176","SRR1119031",NA,"PRJNA235215","Capsicum annuum",291,"RNA-Seq","ILLUMINA","SRS533926","PAIRED","cDNA"
"177","SRR1119032",NA,"PRJNA235215","Capsicum annuum",291,"RNA-Seq","ILLUMINA","SRS533926","PAIRED","cDNA"
"178","SRR1119033",NA,"PRJNA235215","Capsicum annuum",291,"RNA-Seq","ILLUMINA","SRS533926","PAIRED","cDNA"
"179","SRR1119034",NA,"PRJNA235215","Capsicum annuum",291,"RNA-Seq","ILLUMINA","SRS533927","PAIRED","cDNA"
"180","SRR1119035",NA,"PRJNA235215","Capsicum annuum",291,"RNA-Seq","ILLUMINA","SRS533927","PAIRED","cDNA"
"181","SRR1119036",NA,"PRJNA235215","Capsicum annuum",291,"RNA-Seq","ILLUMINA","SRS533927","PAIRED","cDNA"
"182","SRR1119037",NA,"PRJNA235215","Capsicum annuum",290,"RNA-Seq","ILLUMINA","SRS533928","PAIRED","cDNA"
"183","SRR1119038",NA,"PRJNA235215","Capsicum annuum",290,"RNA-Seq","ILLUMINA","SRS533928","PAIRED","cDNA"
"184","SRR1119039",NA,"PRJNA235215","Capsicum annuum",290,"RNA-Seq","ILLUMINA","SRS533928","PAIRED","cDNA"
